,,Arsenal,Everton,Fulham,Manchester City,Newcastle United,Queens Park Rangers,Reading,West Bromwich Albion,West Ham United,Wigan Athletic,Aston Villa,Chelsea,Liverpool,Manchester United,Norwich City,Southampton,Stoke City,Sunderland,Swansea City,Tottenham Hotspur
Arsenal vs Aston Villa,avg_tiros,20.036,,,,,,,,,,10.464,,,,,,,,,
Arsenal vs Aston Villa,avg_pases,316.389,,,,,,,,,,222.132,,,,,,,,,
Arsenal vs Aston Villa,avg_quites,98.764,,,,,,,,,,115.86,,,,,,,,,
Arsenal vs Chelsea,win%,43.9,,,,,,,,,,,41.3,,,,,,,,
Arsenal vs Chelsea,loss%,41.3,,,,,,,,,,,43.9,,,,,,,,
Arsenal vs Chelsea,tie%,14.799999999999999,,,,,,,,,,,14.799999999999999,,,,,,,,
Arsenal vs Chelsea,avg_goles,3.587,,,,,,,,,,,3.525,,,,,,,,
Arsenal vs Chelsea,avg_tiros,17.598,,,,,,,,,,,15.511,,,,,,,,
Arsenal vs Chelsea,avg_pases,284.027,,,,,,,,,,,306.032,,,,,,,,
Arsenal vs Chelsea,avg_quites,92.522,,,,,,,,,,,99.396,,,,,,,,
Arsenal vs Liverpool,win%,64.7,,,,,,,,,,,,20.0,,,,,,,
Arsenal vs Liverpool,loss%,20.0,,,,,,,,,,,,64.7,,,,,,,
Arsenal vs Liverpool,tie%,15.299999999999999,,,,,,,,,,,,15.299999999999999,,,,,,,
Arsenal vs Liverpool,avg_goles,3.563,,,,,,,,,,,,2.104,,,,,,,
Arsenal vs Liverpool,avg_tiros,15.759,,,,,,,,,,,,13.775,,,,,,,
Arsenal vs Liverpool,avg_pases,273.307,,,,,,,,,,,,330.293,,,,,,,
Arsenal vs Liverpool,avg_quites,97.169,,,,,,,,,,,,95.033,,,,,,,
Arsenal vs Manchester United,win%,59.8,,,,,,,,,,,,,26.200000000000003,,,,,,
Arsenal vs Manchester United,loss%,26.200000000000003,,,,,,,,,,,,,59.8,,,,,,
Arsenal vs Manchester United,tie%,14.000000000000002,,,,,,,,,,,,,14.000000000000002,,,,,,
Arsenal vs Manchester United,avg_goles,3.713,,,,,,,,,,,,,2.635,,,,,,
Arsenal vs Manchester United,avg_tiros,16.101,,,,,,,,,,,,,11.174,,,,,,
Arsenal vs Manchester United,avg_pases,284.496,,,,,,,,,,,,,317.611,,,,,,
Arsenal vs Manchester United,avg_quites,94.125,,,,,,,,,,,,,99.251,,,,,,
Arsenal vs Norwich City,win%,61.3,,,,,,,,,,,,,,22.0,,,,,
Arsenal vs Norwich City,loss%,22.0,,,,,,,,,,,,,,61.3,,,,,
Arsenal vs Norwich City,tie%,16.7,,,,,,,,,,,,,,16.7,,,,,
Arsenal vs Norwich City,avg_goles,3.451,,,,,,,,,,,,,,2.215,,,,,
Arsenal vs Norwich City,avg_tiros,18.159,,,,,,,,,,,,,,10.48,,,,,
Arsenal vs Norwich City,avg_pases,341.171,,,,,,,,,,,,,,211.591,,,,,
Arsenal vs Norwich City,avg_quites,97.165,,,,,,,,,,,,,,107.428,,,,,
Arsenal vs Southampton,win%,99.1,,,,,,,,,,,,,,,0.4,,,,
Arsenal vs Southampton,loss%,0.4,,,,,,,,,,,,,,,99.1,,,,
Arsenal vs Southampton,tie%,0.5,,,,,,,,,,,,,,,0.5,,,,
Arsenal vs Southampton,avg_goles,12.122,,,,,,,,,,,,,,,3.164,,,,
Arsenal vs Southampton,avg_tiros,14.535,,,,,,,,,,,,,,,14.475,,,,
Arsenal vs Southampton,avg_pases,274.289,,,,,,,,,,,,,,,301.608,,,,
Arsenal vs Southampton,avg_quites,93.07,,,,,,,,,,,,,,,117.271,,,,
Arsenal vs Stoke City,win%,54.7,,,,,,,,,,,,,,,,27.800000000000004,,,
Arsenal vs Stoke City,loss%,27.800000000000004,,,,,,,,,,,,,,,,54.7,,,
Arsenal vs Stoke City,tie%,17.5,,,,,,,,,,,,,,,,17.5,,,
Arsenal vs Stoke City,avg_goles,3.059,,,,,,,,,,,,,,,,2.206,,,
Arsenal vs Stoke City,avg_tiros,18.258,,,,,,,,,,,,,,,,8.33,,,
Arsenal vs Stoke City,avg_pases,302.04,,,,,,,,,,,,,,,,219.301,,,
Arsenal vs Stoke City,avg_quites,103.681,,,,,,,,,,,,,,,,132.956,,,
Arsenal vs Sunderland,win%,69.19999999999999,,,,,,,,,,,,,,,,,17.2,,
Arsenal vs Sunderland,loss%,17.2,,,,,,,,,,,,,,,,,69.19999999999999,,
Arsenal vs Sunderland,tie%,13.600000000000001,,,,,,,,,,,,,,,,,13.600000000000001,,
Arsenal vs Sunderland,avg_goles,3.285,,,,,,,,,,,,,,,,,1.651,,
Arsenal vs Sunderland,avg_tiros,19.209,,,,,,,,,,,,,,,,,9.477,,
Arsenal vs Sunderland,avg_pases,324.53,,,,,,,,,,,,,,,,,210.807,,
